60
6	19	3	10	9	13	9	7	3	9	7	19	20	6	14	18	15	16	14	9	11	4	9	16	14	8	19	6	16	1	11	8	8	9	15	20	7	2	7	8	6	2	13	7	4	6	3	17	16	1	5	1	15	14	13	18	16	13	7	2	
17	2	2	6	10	2	9	13	7	2	8	10	19	9	19	4	9	11	10	3	15	4	1	2	13	3	19	19	14	10	7	16	4	18	1	2	13	17	4	19	5	12	17	20	14	15	15	10	8	7	1	16	16	4	4	18	18	10	4	18	
8	3	10	20	3	20	16	13	15	13	1	13	1	1	6	2	12	14	3	18	7	20	3	3	8	10	8	6	1	7	4	3	20	19	8	14	15	16	13	1	11	13	14	12	3	15	17	13	14	5	16	19	5	16	5	2	5	8	8	11	
19	7	3	9	5	18	1	16	7	19	2	10	6	8	1	4	10	18	7	2	2	10	13	10	16	7	6	8	4	13	15	2	3	19	15	12	20	6	2	7	9	18	8	20	5	4	11	4	11	9	8	20	5	4	7	12	1	1	5	20	
10	2	14	2	17	12	13	11	6	16	20	7	4	11	12	2	13	20	1	8	9	1	6	12	6	11	3	11	13	16	15	2	14	6	15	14	12	12	5	17	10	9	20	18	13	10	10	10	2	7	11	17	12	1	12	10	7	18	8	13	
11	9	7	5	14	14	16	14	14	9	15	19	17	16	9	12	20	6	14	11	13	8	14	4	4	9	14	11	10	14	10	1	14	5	17	10	17	20	14	4	13	16	3	11	8	11	15	12	17	3	3	15	16	17	3	1	2	10	18	8	
19	13	19	6	7	5	10	10	7	7	6	2	17	2	11	8	9	16	14	2	14	14	1	4	10	5	5	19	15	10	3	3	19	20	19	10	17	11	3	3	8	3	20	11	20	20	6	20	20	9	16	12	3	8	18	20	13	16	7	8	
1	10	1	8	9	11	17	9	1	15	8	7	3	10	4	18	20	7	3	19	16	20	18	19	12	1	17	1	19	6	16	11	11	12	9	4	20	7	18	14	2	10	17	9	10	5	2	18	13	9	14	8	15	2	11	5	16	16	1	19	
3	20	3	16	8	13	5	3	13	3	15	6	13	18	15	1	7	1	5	19	1	10	18	2	5	5	2	14	3	8	9	17	2	12	17	5	17	5	1	7	12	6	1	12	10	4	13	15	10	2	19	15	12	5	4	16	12	7	11	13	
20	9	20	2	15	14	1	12	19	14	8	8	2	1	20	8	19	20	16	3	6	11	4	1	15	16	14	1	20	18	18	15	3	6	16	12	11	4	6	8	10	9	17	11	3	9	10	1	7	15	19	9	20	11	12	7	4	18	4	6	
9	18	17	20	19	1	15	7	4	2	13	5	5	17	5	10	17	9	18	3	2	18	10	16	1	20	10	20	1	11	8	4	10	8	11	1	20	7	6	14	1	7	11	17	9	13	5	6	14	1	5	19	2	5	19	11	4	19	5	1	
10	14	14	9	7	20	18	12	15	15	2	9	19	10	12	7	20	20	8	14	6	19	13	5	20	18	11	19	6	6	9	1	19	20	19	17	18	7	6	8	6	9	5	20	7	16	12	11	9	2	8	3	10	8	1	13	11	7	3	8	
18	8	7	9	6	12	1	20	19	6	1	6	7	19	18	10	16	6	7	4	6	15	5	13	20	20	8	1	12	9	1	14	15	8	19	4	3	18	6	18	8	6	3	6	17	18	2	16	20	15	20	5	7	11	16	2	19	3	3	1	
14	16	11	5	12	6	14	14	17	1	6	7	1	15	14	1	15	10	12	17	20	13	12	1	18	9	4	9	1	4	19	11	5	1	9	19	17	6	10	9	9	15	19	1	1	9	10	16	19	7	4	5	17	20	7	2	4	7	15	2	
8	12	20	10	17	17	9	4	17	1	17	1	8	1	18	17	19	9	14	5	14	18	6	17	9	1	13	3	17	20	16	13	6	2	16	12	12	15	15	18	3	11	19	9	11	20	19	10	12	9	19	1	8	6	7	3	19	9	20	10	
6	3	1	10	12	12	13	13	15	5	3	1	3	19	3	2	8	17	14	15	6	11	4	4	5	6	12	11	7	5	7	10	12	2	11	11	11	19	19	6	12	2	20	12	4	4	20	6	11	10	14	4	14	14	16	20	15	19	11	20	
15	20	6	1	6	17	4	5	19	15	3	13	12	2	9	17	3	17	4	16	20	1	3	19	9	20	9	6	4	15	13	13	15	2	10	11	5	11	19	16	2	13	6	1	16	16	2	16	1	16	7	7	14	5	19	11	18	16	6	12	
9	5	16	18	16	5	14	18	6	4	1	13	11	5	14	10	13	18	2	17	15	11	19	9	12	1	12	13	10	15	18	3	8	11	17	9	18	5	11	19	9	15	13	5	20	12	8	1	4	13	17	16	17	5	7	16	20	17	1	20	
8	6	13	2	15	18	1	18	6	4	18	10	4	20	2	11	10	15	1	2	8	17	5	9	10	6	10	20	7	2	1	3	18	3	17	11	1	17	9	2	3	19	3	8	10	4	5	4	2	19	4	2	17	4	3	16	1	3	17	13	
14	15	3	18	14	18	16	10	3	13	18	4	16	8	12	1	6	5	20	9	10	11	14	10	16	13	19	8	2	18	11	11	12	9	19	20	4	11	19	3	1	17	19	8	18	20	1	10	19	19	17	8	7	16	13	5	20	16	6	20	
3	5	5	15	15	11	6	19	11	3	10	18	15	1	16	20	3	7	9	8	9	4	4	18	19	2	4	15	7	1	14	6	19	2	15	20	2	14	13	1	11	15	19	19	20	19	4	3	2	19	15	9	18	18	4	20	17	18	10	10	
7	10	18	9	5	14	12	11	1	16	2	11	13	13	2	5	13	20	2	17	17	7	19	6	19	9	11	7	6	3	18	18	10	3	7	1	17	10	11	3	15	13	17	6	7	11	18	17	20	14	3	5	20	8	16	17	9	14	12	13	
12	1	10	2	1	1	7	2	6	13	12	8	9	19	2	1	12	11	18	20	3	13	8	2	4	9	8	13	8	14	15	7	19	10	20	2	4	19	15	5	10	15	2	17	14	19	11	13	19	12	2	6	2	20	14	14	14	19	8	16	
18	2	2	3	9	8	5	8	6	5	10	20	15	6	20	10	18	10	7	4	7	14	9	16	6	8	13	7	12	10	7	20	2	20	16	5	3	9	1	17	6	13	17	16	14	1	2	10	12	7	20	20	15	19	5	10	17	15	13	8	
5	13	18	13	16	11	3	9	17	9	19	17	6	11	17	4	16	17	9	7	20	19	15	8	3	14	14	2	19	19	8	15	11	11	7	7	10	13	20	5	2	12	6	7	9	20	16	17	8	3	3	8	15	6	9	2	16	1	12	7	
10	1	10	9	2	4	1	17	12	12	3	12	1	11	13	20	12	1	4	16	20	14	4	4	10	15	12	6	16	10	11	8	5	3	20	11	10	5	20	12	16	17	2	1	19	15	2	19	17	2	19	14	10	18	19	10	2	15	14	10	
16	18	6	20	5	19	16	10	6	10	14	19	7	1	18	20	20	8	5	3	16	6	13	3	3	13	16	16	6	3	18	15	1	3	18	4	16	19	2	15	6	17	1	18	4	14	20	15	11	9	13	3	20	7	20	18	14	1	11	7	
13	7	19	15	18	18	12	14	1	4	10	7	15	7	9	3	1	8	6	12	6	17	14	3	18	19	2	3	8	15	16	14	16	8	20	18	8	12	8	15	5	10	9	6	17	4	12	2	14	3	10	13	14	3	10	8	17	7	4	17	
